image_name,segmentation_method,object_id,centroid_y_px,centroid_x_px,area_px,perimeter_px,mean_intensity,equivalent_radius_px,circularity,segmentation_file
6d-11-4x - 1.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5130465626716614,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-11-4x - 1_labels.tif
6d-12-4x - 1.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.4928452968597412,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-12-4x - 1_labels.tif
6d-13-4x - 1.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5182538628578186,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-13-4x - 1_labels.tif
6d-21-4x - 2.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5179709196090698,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-21-4x - 2_labels.tif
6d-22-4x - 2.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5170259475708008,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-22-4x - 2_labels.tif
6d-23-4x - 2.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5225852131843567,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-23-4x - 2_labels.tif
6d-31-4x - 3.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5246496200561523,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-31-4x - 3_labels.tif
6d-32-4x - 3.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5218846201896667,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-32-4x - 3_labels.tif
6d-33-4x - 3.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5322656035423279,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-33-4x - 3_labels.tif
6d-41-4x - 4.tif,ConvPaint,1,539.5,959.5,2073600.0,5996.0,0.5385010242462158,812.433000308769,0.724789010606114,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_all_8x8_segmentations\6d-41-4x - 4_labels.tif
